ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SUNWOLVES,TYO,13,9,0,0,3,1,0,0
2,REBELS,WLG,11,8,0,0,0,0,2,0
3,CHIEFS,HLZ,2,1,2,0,2,2,4,0
4,HIGHLANDERS,WLG,7,3,0,0,2,1,1,0
6,REDS,BNE,5,3,1,0,2,1,1,0
7,WARATAHS,WLG,6,4,0,0,4,4,0,0
8,BLUES,AKL,4,4,0,0,3,3,1,0
9,BRUMBIES,NPE,8,8,0,0,3,3,0,0
11,STORMERS,WLG,7,3,0,0,1,1,5,0
12,CRUSADERS,CHC,0,0,4,0,1,0,5,0
13,CHEETAHS,WLG,9,8,0,0,1,1,0,0
14,BULLS,PRE,5,3,1,0,2,2,2,0
15,FORCE,PER,6,2,0,0,2,1,0,0
16,CHIEFS,WLG,2,2,0,0,2,2,1,0
17,CRUSADERS,WLG,4,4,1,0,3,2,1,0
QF,BRUMBIES,CBR,4,3,3,0,2,0,2,0
SF,LIONS,JNB,4,3,1,0,6,4,2,0
