ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BLUES,MEL,2,1,2,0,7,6,3,0
2,HURRICANES,WLG,0,0,2,0,11,8,0,0
4,CHIEFS,MEL,1,0,3,0,4,2,1,0
5,WARATAHS,MEL,3,2,2,0,4,3,2,0
6,HIGHLANDERS,DUN,2,1,0,0,6,6,3,0
8,BRUMBIES,MEL,1,1,4,0,3,1,0,0
9,SHARKS,DUR,0,0,3,0,0,0,3,0
10,KINGS,PLZ,0,0,1,0,6,4,2,0
11,LIONS,MEL,1,1,1,0,7,6,0,0
12,REDS,MEL,2,1,4,0,5,2,0,0
13,WARATAHS,SYD,3,1,2,0,8,5,0,0
14,CRUSADERS,MEL,3,2,0,0,6,4,1,0
15,BRUMBIES,CBR,0,0,1,0,4,3,2,0
16,FORCE,PER,3,2,1,0,4,4,1,0
17,JAGUARES,MEL,2,2,5,0,4,3,2,0
