ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,REDS,BNE,2,2,4,0,4,1,2,0
2,BRUMBIES,CBR,2,1,5,0,3,2,1,0
3,WARATAHS,DUR,3,2,6,0,2,2,0,0
4,KINGS,DUR,2,0,3,0,2,2,1,0
5,CHEETAHS,BFN,4,3,4,0,3,3,3,0
6,LIONS,JNB,2,2,4,1,3,2,4,1
7,JAGUARES,DUR,2,1,2,0,1,1,2,0
9,REBELS,DUR,0,0,3,0,0,0,3,0
10,JAGUARES,BUE,3,3,4,0,3,2,2,0
11,FORCE,DUR,3,4,3,0,2,1,0,0
12,KINGS,PLZ,2,2,6,0,4,3,2,1
13,SUNWOLVES,SIN,6,4,0,0,2,2,1,0
14,STORMERS,DUR,3,2,1,0,1,1,1,0
15,BULLS,DUR,2,2,1,0,4,2,2,0
17,LIONS,DUR,1,1,1,0,3,0,4,0
QF,LIONS,JNB,2,1,2,1,3,1,2,0
