ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HURRICANES,TYO,3,1,0,0,13,9,0,0
2,KINGS,SIN,3,1,2,0,4,4,3,0
3,CHEETAHS,BFN,4,4,1,0,4,3,4,0
4,BULLS,PRE,2,1,3,0,4,4,2,0
5,STORMERS,SIN,4,4,1,0,6,4,2,0
7,BULLS,TYO,2,1,3,0,2,2,2,0
8,CRUSADERS,CHC,0,0,1,0,8,5,0,0
9,HIGHLANDERS,IVC,2,1,1,0,6,5,0,0
10,CHIEFS,HLZ,2,2,2,0,4,3,0,0
11,JAGUARES,BUE,5,4,2,0,7,3,1,0
13,SHARKS,SIN,2,2,1,0,6,4,0,0
14,CHEETAHS,TYO,1,1,0,0,7,6,0,0
15,LIONS,JNB,1,1,0,0,14,12,0,0
16,STORMERS,CPT,2,1,1,0,8,6,0,0
17,BLUES,TYO,8,4,0,0,3,3,0,0
