,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,5.542517006802721,-9.462925170068027,15.00544217687075,2.1296945423127984,0.9834015800638953
HURRICANES,2.0061224489795926,-6.611904761904762,8.618027210884355,1.2244840823361376,0.8896151662788983
CHIEFS,2.4751700680272117,-3.8867346938775507,6.3619047619047615,0.9047513499741802,0.8172014347731669
WARATAHS,4.032312925170069,0.6442176870748294,3.3880952380952394,0.4833095771654076,0.685562029549748
LIONS,4.586984126984128,1.4780952380952372,3.1088888888888904,0.44374106484244896,0.6713850988493572
HIGHLANDERS,0.4149659863945586,-1.7945578231292518,2.209523809523811,0.31628501548378835,0.6241069081307729
JAGUARES,-0.8129251700680266,-2.4921768707482994,1.6792517006802736,0.2411360135612358,0.5952751493123452
SHARKS,0.9670068027210892,1.2874149659863943,-0.32040816326530447,-0.042251402925413614,0.4831491427543797
REBELS,-1.1982993197278908,1.557142857142857,-2.755442176870748,-0.3873390903940178,0.34925259490278204
STORMERS,-3.8695238095238094,-0.7946031746031756,-3.074920634920632,-0.432614877782807,0.3326472895535454
BULLS,0.07891156462585107,3.6911564625850337,-3.6122448979591826,-0.5087632955530362,0.30545907495591995
BRUMBIES,-4.983673469387755,-1.1680272108843541,-3.8156462585034,-0.5375888909024181,0.29543045070154617
BLUES,-2.6666666666666656,1.5676870748299319,-4.234353741496597,-0.5969271983858448,0.2752779937174755
REDS,-5.263605442176869,4.838095238095238,-10.101700680272106,-1.4284347565410924,0.07658338057435501
SUNWOLVES,-1.6921768707482985,11.09829931972789,-12.790476190476188,-1.8094821331913669,0.03518806670789163
