,Attack,Defense,Overall
REBELS,9.000000000000002,-3.2222222222222214,12.222222222222223
HURRICANES,-2.75,-11.388888888888891,8.63888888888889
CRUSADERS,8.88888888888889,0.7222222222222227,8.166666666666666
HIGHLANDERS,3.333333333333332,-3.25,6.583333333333332
LIONS,8.770833333333334,2.541666666666667,6.229166666666666
SHARKS,-2.0277777777777772,-5.75,3.7222222222222228
BLUES,1.9166666666666667,0.25,1.6666666666666667
BULLS,0.30555555555555597,0.4722222222222226,-0.16666666666666666
REDS,-3.6666666666666656,-3.3333333333333335,-0.33333333333333215
CHIEFS,-4.500000000000002,-0.6666666666666679,-3.833333333333334
WARATAHS,-1.75,3.3333333333333335,-5.083333333333333
STORMERS,-4.270833333333334,1.6249999999999991,-5.895833333333333
BRUMBIES,-8.999999999999998,-1.2222222222222225,-7.777777777777776
JAGUARES,-3.6875,4.3125,-8.0
SUNWOLVES,-0.5555555555555548,10.777777777777777,-11.333333333333334
