,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,6.141067538126362,-9.86760167029775,16.00866920842411,2.176548496837397,0.9852428642550707
HURRICANES,1.8344680464778504,-5.635893246187362,7.470361292665215,1.038997029572507,0.8505969411265673
CHIEFS,1.9967560553633223,-3.9289215686274503,5.925677623990773,0.8332001443937009,0.7976340694089196
LIONS,5.233274328249819,-0.2785039941902683,5.511778322440087,0.7780566941428735,0.7817322044117965
WARATAHS,5.053762708787219,1.3262300290486568,3.727532679738562,0.5403431718804586,0.7055198046604234
HIGHLANDERS,0.7217176086120726,-0.7437043444828911,1.465421953094963,0.2389640928407262,0.5944332870244895
JAGUARES,-1.905781430219146,-1.5641099577085735,-0.34167147251057317,-0.0017934200135761868,0.499284529313601
SHARKS,-1.3351114955786236,0.38052672049211866,-1.7156382160707424,-0.1848458351443692,0.4266749780136365
STORMERS,-4.313802083333332,-1.7582465277777772,-2.555555555555556,-0.29674730453840786,0.3833297194993894
BRUMBIES,-4.658471200980392,-2.0598703022875817,-2.59860089869281,-0.30248219882048555,0.38114225078681696
BULLS,0.20182291666666674,4.032552083333334,-3.830729166666667,-0.4666375950559974,0.3203795923123821
REBELS,-1.7419321895424835,2.728502859477124,-4.470435049019608,-0.5518650631056655,0.29052040316748806
BLUES,-2.8664726307189543,2.6801981209150334,-5.546670751633988,-0.695251026075242,0.24344899992131974
REDS,-4.594311683006535,3.677440767973856,-8.27175245098039,-1.058311332179543,0.14495676412043712
SUNWOLVES,-2.2671568627450975,13.434385212418302,-15.701542075163399,-2.0481758547343767,0.020271385708152345
