,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,6.293999963789763,-10.078171111473214,16.372171075262976,2.21918767315262,0.9867630203273853
HURRICANES,1.8014920880632954,-5.617862057103543,7.419354145166841,1.035582481991941,0.849801515963402
CHIEFS,1.994348074627168,-3.9481854145166837,5.942533489143853,0.8403397323042894,0.7996410349980334
LIONS,4.976152164466896,-0.11733927181214124,5.093491436279035,0.7280923146332875,0.7667214609523978
WARATAHS,4.993496302029584,1.407776487788098,3.585719814241485,0.5287576992979509,0.7015132273519666
HIGHLANDERS,0.6880058783059149,-0.7149805742730533,1.402986452578968,0.240189915777372,0.5949084845304957
JAGUARES,-2.0008966692972336,-1.4297790323559763,-0.5711176369412575,-0.02079608075216671,0.49170416208544176
SHARKS,-1.3989229850867078,0.4668700297456446,-1.865793014832352,-0.19195835404611633,0.42388741367917027
BRUMBIES,-4.6930106746646025,-2.0191173783109733,-2.6738932963536293,-0.2987930738505254,0.38254896797036353
STORMERS,-4.381601790935672,-1.666506761695906,-2.7150950292397664,-0.3042401398756232,0.38047247306522125
BULLS,0.1340232090643274,4.124291849415206,-3.9902686403508776,-0.4728241863860006,0.318169308497229
REBELS,-1.7432114293085654,2.7182689413484686,-4.461480370657034,-0.5351206294475459,0.2962832228457588
BLUES,-2.902291344169247,2.7107171267629857,-5.613008470932233,-0.6873581484200785,0.2459285320524544
REDS,-4.627571916924664,3.7284276100791196,-8.355999527003783,-1.0499946770817608,0.146860280023155
SUNWOLVES,-2.301696336429308,13.475138136394907,-15.776834472824216,-2.0310645272976444,0.021124224638772067
