,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,5.98828125,-9.13671875,15.125,2.0750994708200277,0.9810113416105157
HURRICANES,1.9453125,-6.21875,8.1640625,1.1221821938989973,0.8691075090514987
CHIEFS,1.76171875,-4.6171875,6.37890625,0.8778032962823246,0.8099747623332636
WARATAHS,5.6796875,1.08203125,4.59765625,0.6339591446122965,0.7369462573705942
LIONS,4.34765625,0.0859375,4.26171875,0.5879709932008439,0.7217241185817445
HIGHLANDERS,1.26171875,-0.65625,1.91796875,0.2671234252139649,0.6053129340012549
JAGUARES,-1.64453125,-2.1484375,0.50390625,0.07354539252854793,0.5293139380818531
SHARKS,-0.734375,0.02734375,-0.76171875,-0.09971229418436672,0.4602863699207309
BRUMBIES,-4.44921875,-2.21484375,-2.234375,-0.30131151606945566,0.38158848009513807
STORMERS,-4.12890625,-1.8203125,-2.30859375,-0.3114716890557069,0.3777210310411721
BULLS,0.41015625,3.96484375,-3.5546875,-0.4820556460353975,0.3148832084473829
REBELS,-1.546875,2.5,-4.046875,-0.5494336353126421,0.2913539483219102
BLUES,-2.64453125,2.51953125,-5.1640625,-0.7023709760530544,0.24122392034804518
REDS,-4.37890625,3.578125,-7.95703125,-1.0847143279040852,0.1390240999930677
SUNWOLVES,-2.1171875,13.3046875,-15.421875,-2.1066138319422945,0.0175755333919463
