,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,6.1608996539792376,-9.568771626297579,15.729671280276815,2.1404746964046666,0.9838417882083056
HURRICANES,2.2305363321799314,-5.72923875432526,7.959775086505192,1.0961384074290248,0.863490895546035
CHIEFS,2.090181660899654,-4.157871972318339,6.248053633217993,0.8660693324111498,0.8067739291206146
LIONS,4.686634948096887,0.07958477508650554,4.60705017301038,0.6455053221476457,0.7407001147770791
WARATAHS,5.38083910034602,0.8094723183391006,4.571366782006921,0.6407091885559908,0.7391441784167525
HIGHLANDERS,0.8397491349480966,-0.906141868512111,1.7458910034602078,0.26094261052585366,0.6029316178059302
JAGUARES,-1.8544550173010377,-1.554498269896194,-0.2999567474048446,-0.014035715395699902,0.4944007435370508
SHARKS,-1.280709342560554,0.35380622837370246,-1.6345155709342567,-0.19341111172359707,0.4233185069189169
BRUMBIES,-4.5402113970588225,-2.1564797794117645,-2.3837316176470593,-0.2941117499756565,0.38433625629150625
STORMERS,-4.283777573529411,-1.7249540441176467,-2.558823529411765,-0.31764550548561815,0.37537692602439965
BULLS,0.20243566176470584,4.033777573529413,-3.8313419117647065,-0.488682169546206,0.31253336457371805
REBELS,-1.6204044117647058,2.59329044117647,-4.2136948529411775,-0.5400734676676973,0.29457318374388014
BLUES,-2.798253676470588,2.5372242647058822,-5.335477941176471,-0.6908501007380818,0.2448298735020485
REDS,-4.455422794117647,3.595128676470588,-8.050551470588236,-1.0557777321104014,0.14553488700505796
SUNWOLVES,-2.14889705882353,13.337775735294118,-15.486672794117645,-2.055252004831373,0.01992733522317851
