ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
2,HURRICANES,PRE,3,0,2,0,3,2,0,0
3,LIONS,PRE,4,3,3,0,7,7,0,0
4,REDS,BNE,2,2,0,0,2,2,2,0
5,CHIEFS,HLZ,4,4,0,0,6,4,1,0
6,CRUSADERS,CHC,2,2,0,0,5,4,0,0
7,STORMERS,PRE,5,4,0,0,3,1,2,0
9,SHARKS,DUR,6,5,0,0,1,1,1,0
10,REBELS,PRE,4,4,0,0,1,1,1,0
11,HIGHLANDERS,PRE,4,4,0,0,2,2,5,0
12,STORMERS,CPT,2,2,1,0,4,3,1,0
13,SHARKS,PRE,5,4,2,0,3,3,5,0
14,JAGUARES,BUE,3,3,1,0,7,5,3,0
15,BRUMBIES,PRE,3,2,3,0,5,5,1,0
17,SUNWOLVES,SIN,4,4,3,0,6,6,0,0
18,JAGUARES,PRE,6,5,1,0,5,3,1,0
19,LIONS,JNB,2,1,0,0,6,4,0,0
