ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
2,CRUSADERS,CHC,3,2,2,0,7,5,0,0
3,BLUES,AKL,4,2,1,0,3,3,0,0
5,BULLS,HLZ,6,4,1,0,4,4,0,0
6,SUNWOLVES,TYO,9,8,0,0,2,0,0,0
7,HIGHLANDERS,HLZ,3,3,2,0,3,2,1,0
8,BLUES,HLZ,2,1,3,0,1,1,4,0
9,HURRICANES,WLG,1,1,2,0,3,2,2,0
10,REDS,BNE,5,4,1,0,2,0,1,0
12,JAGUARES,ROT,1,1,4,0,2,2,3,0
13,STORMERS,CPT,2,1,1,0,0,0,3,0
14,SHARKS,DUR,3,3,1,0,3,2,3,0
15,WARATAHS,HLZ,6,3,1,0,3,3,2,0
16,CRUSADERS,HLZ,3,1,1,0,4,4,2,0
17,HIGHLANDERS,SUV,6,6,1,0,4,1,0,0
18,BRUMBIES,HLZ,3,3,1,0,3,2,0,0
19,HURRICANES,HLZ,4,4,0,0,4,2,0,0
QF,HURRICANES,WLG,4,4,1,0,4,3,2,0
