ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HIGHLANDERS,DUN,3,3,1,0,0,0,5,0
2,BLUES,HLZ,6,4,1,0,3,1,3,0
3,HURRICANES,HLZ,2,2,4,0,2,1,2,0
4,REBELS,MEL,4,2,1,0,1,0,3,0
6,BULLS,HLZ,3,2,3,0,0,0,4,0
7,STORMERS,CPT,3,1,2,0,4,4,2,0
8,CHEETAHS,BFN,6,4,1,0,3,3,2,0
9,FORCE,PER,1,1,3,0,1,1,0,0
10,SUNWOLVES,HLZ,4,2,1,0,2,2,2,0
11,REDS,NPL,6,5,2,0,3,1,0,0
13,CRUSADERS,SUV,4,3,0,0,3,2,4,0
14,BLUES,AKL,2,0,2,0,1,1,3,0
15,WARATAHS,HLZ,6,5,2,0,4,4,1,0
16,HURRICANES,WLG,2,2,1,0,2,2,0,0
17,BRUMBIES,HLZ,3,2,3,0,1,1,1,0
QF,STORMERS,CPT,1,0,4,0,1,0,2,0
SF,CRUSADERS,CHC,1,1,2,0,4,2,1,0
