ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SHARKS,JNB,4,3,0,0,3,2,0,0
2,JAGUARES,JNB,7,6,0,0,3,3,2,0
3,BULLS,PRE,7,7,0,0,4,3,3,0
4,BLUES,JNB,5,5,0,0,5,5,1,0
5,SUNWOLVES,JNB,6,5,0,0,5,5,1,0
6,JAGUARES,BUE,5,5,0,0,6,5,3,0
7,CRUSADERS,JNB,1,0,1,0,2,2,0,0
8,STORMERS,JNB,8,6,0,0,4,4,1,0
10,WARATAHS,SYD,4,3,1,0,0,0,0,0
11,REDS,BNE,4,1,0,0,4,2,1,0
12,HURRICANES,WLG,3,2,0,0,4,4,0,0
13,HIGHLANDERS,DUN,4,2,1,0,5,4,2,0
14,BRUMBIES,JNB,6,6,0,0,3,3,1,0
15,STORMERS,CPT,4,3,0,0,2,2,3,0
17,SHARKS,DUR,3,3,1,0,3,2,4,0
