,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,7.903611111111112,-8.005833333333333,15.909444444444443,2.116320238184489,0.9828412096836754
HURRICANES,3.392447916666667,-3.20234375,6.594791666666667,0.8664462583246182,0.8068772571659614
JAGUARES,3.4252604166666667,-2.28671875,5.711979166666667,0.747987266973114,0.7727660810711752
BULLS,1.2020833333333334,-2.16171875,3.3638020833333333,0.4329003274402192,0.6674564089386399
HIGHLANDERS,3.932777777777778,0.8125,3.120277777777778,0.40022335061253883,0.6555039912968985
BRUMBIES,-0.0005208333333333037,-1.578125,1.5776041666666667,0.19322179597120226,0.5766073651715421
CHIEFS,3.880729166666667,2.6843749999999993,1.1963541666666662,0.14206428466188004,0.5564853856478786
BLUES,-2.845833333333333,-3.75703125,0.9111979166666666,0.10380098214568624,0.5413363564790584
SHARKS,-3.8833333333333333,-4.23046875,0.3471354166666667,0.028113024839680912,0.5112139970699493
STORMERS,-3.2393229166666666,-2.728125,-0.5111979166666667,-0.08706126291682585,0.4653114080712135
LIONS,0.9286458333333334,4.51015625,-3.5815104166666667,-0.4990469585021458,0.30887315149842354
WARATAHS,-3.2236979166666666,0.8031250000000001,-4.026822916666667,-0.558800609006887,0.28814890339891225
REDS,-1.6846354166666666,2.5765625,-4.261197916666667,-0.5902498987462244,0.2775115615712515
REBELS,-1.6338541666666666,4.17421875,-5.808072916666667,-0.7978152110258513,0.21248886642619613
SUNWOLVES,-6.977083333333333,11.50234375,-18.479427083333334,-2.498103588955495,0.006242985091027398
