ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CRUSADERS,AKL,3,2,1,0,4,1,0,0
2,SHARKS,DUR,1,1,0,0,4,3,0,0
3,JAGUARES,BUE,1,1,4,0,3,1,2,0
4,SUNWOLVES,NHB,4,1,2,0,2,2,2,0
5,HIGHLANDERS,AKL,5,2,3,0,2,2,4,0
7,STORMERS,AKL,3,3,1,0,0,0,3,0
8,WARATAHS,AKL,4,3,2,0,4,3,1,0
9,CHIEFS,HLZ,4,3,1,0,5,4,0,0
10,HIGHLANDERS,DUN,2,1,0,0,3,3,1,0
12,BRUMBIES,CBR,2,1,3,0,4,3,0,0
13,HURRICANES,AKL,2,1,0,0,3,2,1,0
14,CHIEFS,AKL,4,0,1,0,1,0,1,0
15,CRUSADERS,CHC,1,0,2,0,1,1,4,0
16,BULLS,AKL,3,2,1,0,3,2,1,0
17,REDS,BNE,4,4,0,0,4,3,1,0
18,HURRICANES,WLG,2,2,1,0,4,3,1,0
