ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,LIONS,BUE,1,1,3,0,3,2,2,0
2,BULLS,BUE,3,3,2,0,0,0,4,0
3,BLUES,BUE,3,1,2,0,1,1,4,0
4,LIONS,JNB,6,4,1,0,7,6,0,0
5,STORMERS,CPT,1,0,1,0,4,3,3,0
7,CHIEFS,BUE,3,3,2,0,3,3,3,0
8,BULLS,PRE,3,2,1,0,1,0,5,0
9,SHARKS,DUR,7,5,2,0,2,2,1,0
11,BRUMBIES,BUE,3,1,1,0,2,1,1,0
12,STORMERS,BUE,3,2,3,0,1,1,6,0
13,HIGHLANDERS,DUN,3,3,2,0,4,3,2,0
14,HURRICANES,WLG,4,4,0,0,3,1,1,0
15,WARATAHS,PAR,2,2,3,0,2,0,1,0
16,REDS,BNE,5,3,1,0,2,2,3,0
17,SHARKS,BUE,5,3,1,0,1,1,0,0
18,SUNWOLVES,BUE,8,6,0,0,2,0,0,0
