ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,JAGUARES,BUE,3,2,2,0,1,1,3,0
2,STORMERS,CPT,2,2,1,0,1,1,4,0
3,BULLS,JNB,2,1,0,0,2,1,6,0
4,JAGUARES,JNB,7,6,0,0,6,3,1,0
5,REBELS,JNB,5,4,1,0,5,4,0,0
6,SUNWOLVES,SIN,6,2,1,0,3,3,1,0
7,SHARKS,JNB,1,0,0,0,6,3,2,0
9,BRUMBIES,CBR,3,1,1,0,5,3,0,0
10,CHIEFS,HLZ,2,2,2,1,3,1,0,0
11,CRUSADERS,CHC,1,1,1,0,5,4,1,0
13,WARATAHS,JNB,4,3,1,0,4,4,0,0
14,HIGHLANDERS,JNB,5,5,1,0,5,2,0,0
15,SHARKS,DUR,2,2,1,0,3,3,2,0
16,STORMERS,JNB,6,4,1,0,3,2,1,0
17,HURRICANES,JNB,2,2,1,0,5,3,2,0
18,BULLS,PRE,2,1,4,1,7,5,1,0
