ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
2,HIGHLANDERS,DUN,4,4,1,0,5,4,1,0
3,CRUSADERS,BNE,2,1,0,0,4,1,0,0
4,WARATAHS,SCG,3,1,0,0,3,2,2,0
5,SUNWOLVES,TYO,5,3,1,0,4,4,1,0
6,BRUMBIES,BNE,5,4,1,0,2,2,0,0
7,REBELS,BNE,1,1,2,0,4,3,2,0
8,STORMERS,BNE,3,3,1,0,2,1,0,0
9,BULLS,PRE,2,2,1,0,5,2,1,0
10,SHARKS,DUR,3,3,0,0,2,2,0,0
11,SUNWOLVES,BNE,4,3,2,0,2,2,4,0
13,REBELS,MEL,2,1,4,0,4,2,2,0
14,WARATAHS,BNE,6,1,0,0,4,4,4,0
15,CHIEFS,HLZ,1,1,2,0,3,2,0,0
16,JAGUARES,BNE,2,2,3,0,5,3,1,0
17,BLUES,BNE,4,3,1,0,4,4,0,0
18,BRUMBIES,CBR,3,3,1,1,6,5,0,0
