ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SHARKS,SIN,1,1,1,0,6,6,1,0
2,WARATAHS,TYO,3,3,3,0,5,3,0,0
3,CHIEFS,HLZ,3,3,3,0,2,1,1,0
4,BLUES,NHB,2,2,2,0,4,1,2,0
5,REDS,TYO,4,4,1,0,5,3,1,0
6,LIONS,SIN,3,3,1,0,6,2,1,0
7,WARATAHS,NTL,4,4,1,0,4,3,1,0
8,REBELS,MEL,2,1,1,0,6,6,0,0
10,HURRICANES,TYO,2,2,3,0,4,3,1,0
11,HIGHLANDERS,TYO,0,0,0,0,8,6,0,0
12,REDS,BNE,2,2,4,0,4,3,2,0
13,BRUMBIES,CBR,0,0,0,0,5,4,0,0
15,REBELS,TYO,1,1,0,0,8,6,0,0
16,BRUMBIES,TYO,3,2,0,0,6,6,0,0
17,STORMERS,CPT,2,1,2,0,4,4,1,0
18,JAGUARES,BUE,2,0,0,0,8,6,0,0
