ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HURRICANES,SYD,1,1,4,0,2,2,2,0
2,SUNWOLVES,TYO,5,3,0,0,3,3,3,0
3,REDS,SCG,3,2,2,0,3,1,0,0
5,BRUMBIES,CBR,2,0,1,0,3,1,0,0
6,CRUSADERS,SCG,3,1,1,0,2,1,0,0
7,SUNWOLVES,NTL,4,3,1,0,4,4,1,0
8,BLUES,AKL,4,3,1,0,4,3,2,0
10,REBELS,SCG,2,2,3,0,2,2,2,0
11,SHARKS,PAR,2,1,1,0,2,2,3,0
12,BULLS,PRE,3,3,0,0,3,2,3,0
13,LIONS,JNB,4,4,0,0,4,3,1,0
14,REDS,BNE,4,4,4,0,6,1,0,0
15,JAGUARES,PAR,2,1,1,0,2,2,3,0
16,REBELS,MEL,2,2,2,0,2,1,1,0
17,BRUMBIES,PAR,3,3,1,0,5,5,0,0
18,HIGHLANDERS,IVC,2,1,0,0,7,7,0,0
