Code,Venue,City,Country,Lat,Long
BUE,Estadio Jose Amalfitani,Buenos Aires,Argentina,-34.63333333,-58.51666667
BNE,Suncorp Stadium,Brisbane,Australia,-27.46666667,153.0166667
CBR,GIO Stadium,Canberra,Australia,-35.25,149.1
MEL,AAMI Park,Melbourne,Australia,-37.83333333,144.9833333
SYD,Brookvale Oval,"Brookvale, New South Wales",Australia,-33.76666667,151.2666667
SCG,Sydney Cricket Ground,Sydney,Australia,-33.88333333,151.2166667
ANZ,ANZ Stadium,Sydney,Australia,-33.85,151.0666667
PER,NIB Stadium,Perth,Australia,-31.95,115.8666667
NTL,McDonald Jones Stadium,Newcastle,Australia,-32.918889,151.726667
SUV,National Stadium,Suva,Fiji,-18.15,178.45
TYO,Chichibunoyima Rugby Stadium,Tokyo,Japan,35.66666667,139.7166667
AKL,Eden Park,Auckland,New Zealand,-36.86666667,174.75
NHB,QBE Stadium,Auckland,New Zealand,-36.73333333,174.7
CHC,Wyatt Crockett Stadium,Christchurch,New Zealand,-43.55,172.6
DUN,Forsyth Barr Stadium,Dunedin,New Zealand,-45.86666667,170.5166667
HLZ,Waikato Stadium,Hamilton,New Zealand,-37.78333333,175.2666667
NPE,McLean Park,Napier,New Zealand,-39.5,176.9166667
PMR,CET Arena,Palmerston North,New Zealand,-40.35,175.6
ROT,Rotorua International Stadium,Rotorua,New Zealand,-38.15,176.2166667
WLG,Westpac Stadium,Wellington,New Zealand,-40.73333333,174.7833333
IVC,Rugby Park Stadium,Invercargill,New Zealand,-46.41666667,168.3666667
NPL,Yarrow Stadium,New Plymouth,New Zealand,-39.06666667,174.0666667
NSN,Trafalgar Park,Nelson,New Zealand,-41.26666667,173.2833333
SIN,Singapore National Stadium,Singapore,Singapore,1.3,103.8666667
CPT,Newlands Stadium,Cape Town,South Africa,-33.96666667,18.46666667
DUR,Kings Park Stadium,Durban,South Africa,-29.81666667,31.03333333
JNB,Ellis Park Stadium,Johannesburg,South Africa,-26.2,28.06666667
PRE,Loftus Versfeld Stadium,Pretoria,South Africa,-25.75,28.21666667
BFN,Free State Stadium,Bloemfontein,South Africa,-29.11666667,26.21666667
PLZ,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,-33.93333333,25.6
HKG,Mong Kok Stadium,Kowloon,Hong Kong,22.33333333,114.1666667
