,R1,G1,B1,R2,G2,B2
BLUES,11,24,100,2,184,232
CHIEFS,208,71,69,244,185,57
HURRICANES,253,224,25,0,0,0
CRUSADERS,229,56,52,0,0,0
HIGHLANDERS,37,45,137,241,183,19
REDS,211,18,69,255,255,255
WARATAHS,135,206,250,0,26,73
BRUMBIES,0,43,84,255,194,34
REBELS,0,42,92,255,255,255
FORCE,52,96,213,0,0,0
SUNWOLVES,230,0,18,89,89,86
SHARKS,0,0,0,255,255,255
BULLS,63,191,226,1,72,144
LIONS,255,1,1,255,255,255
CHEETAHS,239,127,45,43,113,131
KINGS,0,0,0,199,65,62
STORMERS,49,58,181,255,255,255
JAGUARES,0,0,0,255,112,42
