,Attack,Defense,Overall,Standardised,Quantile
REBELS,8.5,-13.5,22.0,2.1191490894404774,0.9829610653894292
SHARKS,4.5,-8.75,13.25,1.214634234191493,0.887747187078975
JAGUARES,5.25,-5.0,10.25,0.9045148552489842,0.8171387695370942
BRUMBIES,6.0,-2.5,8.5,0.7236118841991874,0.765347978354211
BLUES,-0.75,-8.75,8.0,0.6719253210421026,0.7491843802083762
BULLS,5.5,-1.25,6.75,0.5427089131493905,0.706334881800686
CRUSADERS,3.75,4.25,-0.5,-0.20674625262833926,0.41810401665952773
LIONS,0.5,1.25,-0.75,-0.23258953420688167,0.40804007747582394
REDS,2.0,3.0,-1.0,-0.2584328157854241,0.3980364465998039
HURRICANES,-2.5,1.0,-3.5,-0.5168656315708482,0.3026249803274337
STORMERS,-5.25,-1.0,-4.25,-0.5943954763064754,0.276123816697329
SUNWOLVES,3.25,7.75,-4.5,-0.6202387578850178,0.26755030402041147
HIGHLANDERS,-6.0,2.5,-8.5,-1.0337312631416964,0.15063090674175195
CHIEFS,-5.25,5.25,-10.5,-1.2404775157700356,0.107399412749832
WARATAHS,-8.25,4.5,-12.75,-1.4730670499769172,0.07036647855227947
