,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,7.820189350249905,-7.905709342560554,15.725898692810457,2.100393410767933,0.9821528759111744
JAGUARES,3.2327296659404503,-3.5894380900508356,6.822167755991285,0.9231318869701213,0.8220307604183388
HURRICANES,4.027596223674656,-2.6763117283950617,6.7039079520697165,0.9074954399619334,0.8179275700940647
BULLS,1.3667820069204155,-1.3793973471741634,2.7461793540945796,0.3842000222215924,0.649584899076544
HIGHLANDERS,3.4391595179738568,1.102634803921569,2.336524714052288,0.33003501553066444,0.6293132477553944
BRUMBIES,0.11549110384894729,-1.2802287581699343,1.3957198620188818,0.20564071817817742,0.5814642156441341
CHIEFS,3.1045271049596312,2.170943867743176,0.9335832372164541,0.14453648322562776,0.5574615752752112
BLUES,-3.074959150326797,-3.548636642156862,0.4736774918300657,0.08372721770997735,0.5333633417411757
STORMERS,-3.456571691176471,-2.633348651960784,-0.8232230392156861,-0.08775045903331313,0.46503750688017176
SHARKS,-4.251297577854671,-3.2961361014994233,-0.9551614763552478,-0.10519551062534967,0.45811033648031696
LIONS,0.7403492647058827,4.649739583333333,-3.9093903186274503,-0.49580703889141897,0.3100152791067872
WARATAHS,-3.420726102941176,0.9125051062091503,-4.333231209150327,-0.5518477679032774,0.2905263283877394
REDS,-1.80844056372549,2.7455065359477127,-4.553947099673202,-0.5810310762767196,0.2806097546523847
REBELS,-1.8739787581699343,4.336652369281046,-6.21063112745098,-0.8000797399024331,0.21183229934404857
SUNWOLVES,-7.072840073529413,11.672615400326798,-18.745455473856207,-2.4574486019335144,0.006996391609330426
