,R1,G1,B1,R2,G2,B2
ARGENTINA,74,177,236,255,255,255
AUSTRALIA,255,187,0,0,64,68
CANADA,233,26,64,255,255,255
ENGLAND,255,255,255,229,46,51
FIJI,255,255,255,0,0,0
FRANCE,0,59,124,255,255,255
GEORGIA,85,24,40,255,255,255
IRELAND,0,132,92,255,255,255
ITALY,0,82,177,255,255,255
JAPAN,255,255,255,204,0,0
NAMIBIA,18,10,127,255,255,255
NEW ZEALAND,0,0,0,255,255,255
RUSSIA,237,28,36,38,145,208
SAMOA,14,31,124,255,255,255
SCOTLAND,0,0,128,255,255,255
SOUTH AFRICA,0,100,0,255,203,5
TONGA,237,28,36,255,255,255
UNITED STATES,0,48,82,255,255,255
URUGUAY,34,189,246,0,0,0
WALES,238,41,34,255,255,255
