ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
2,HOU,HOU,2,0,0,0,1,1,0,0
3,ATL,ATL,5,4,1,0,4,4,1,0
4,DAL,DAL,7,3,0,0,1,0,0,0
5,NE,NY,4,3,1,0,5,5,1,0
6,SD,NY,2,2,4,0,2,2,3,0
7,NOLA,NO,4,2,2,0,3,2,0,0
8,TOR,NY,2,0,0,0,2,2,0,0
9,OGDC,NY,5,5,0,0,5,3,0,0
10,LA,LA,0,0,0,0,6,5,1,0
12,NE,NY,4,3,0,0,4,3,1,0
13,NOLA,NY,5,4,1,0,4,4,0,0
14,TOR,TOR,7,3,0,0,2,2,1,0
15,SEA,NY,4,2,2,0,3,2,1,0
16,ATL,NY,0,0,1,0,6,4,0,0
17,OGDC,DC,9,7,0,0,7,7,0,0
18,NE,NE,3,3,0,0,2,2,0,0
E,ATL,ATL,2,2,4,0,1,1,4,0
C,NE,NE,3,3,1,0,1,1,3,0
