Code,Venue,City,State,Lat,Long
SEA,Starfire Stadium,Tukwila,Washington,47.93333333,-122.25
SD,SDSU Sports Deck,San Diego,California,32.771735,-117.077113
SLC,Zions Bank Stadium,Herriman,Utah,40.48333333,-111.9833333
AUS,Bold Statium,Austin,Texas,30.1359,-97.6393
HOU,Aveva Stadium,Houston,Texas,29.6345,-95.3899
NO,Gold Mine,Metairie,Louisiana,29.975442,-90.199742
DAL,Choctaw Stadium,Arlington,Texas,32.751389,-97.082778
LA,Los Angeles Memorial Coliseum,Los Angeles,California,34.014167,-118.287778
NE,Veterans Memorial Stadium,Quincy,Massachusetts,42.261111,-71.01
DC,Segra Field,Leesburg,Virginia,39.070746,-77.545434
NY,John F Kennedy Stadium,Hoboken,New Jersey,40.7496626,-74.0360646
ATL,Atlanta Silverbacks Park,DeKalb County,Georgia,33.8915,-84.2553
TOR,York Lions Stadium,Toronto,Ontario,43.77467,-79.50677
LAN,Starlight Stadium,Langford,British Columbia,48.443056,-123.523611
HAR,Red Bull Arena,Harrison,New Jersey,40.73666667,-74.15027778
