,Attack,Defense,Overall,Standardised,Quantile
AUS,2.2688419117647056,-11.707720588235295,13.9765625,1.27627489849549,0.8990708198730825
LA,1.952895220588235,-8.731158088235295,10.684053308823529,0.9570520921231713,0.830729518605391
NE,2.352941176470588,-5.8161764705882355,8.169117647058822,0.713218355243764,0.762144675103073
ATL,2.316392733564014,-4.78287197231834,7.0992647058823515,0.6094915504095455,0.7289006641371427
SEA,2.118512110726644,-4.341262975778547,6.45977508650519,0.5474903048274182,0.7079790352899334
UTAH,0.8860294117647056,-1.949908088235294,2.8359375,0.19614379764019682,0.5777511917776124
SD,3.26643598615917,1.5692041522491351,1.6972318339100343,0.08574142751608668,0.5341640155129659
HOU,-0.4181985294117647,-2.113970588235294,1.695772058823529,0.085599896096513,0.534107759469556
RUNY,0.41262975778546696,-1.2515138408304498,1.6641435986159163,0.08253338200575,0.5328887130631849
TOR,-1.9834558823529411,-1.890395220588235,-0.09306066176470629,-0.08783506430606222,0.46500388408474325
NOLA,-3.2208180147058822,5.185891544117648,-8.406709558823529,-0.8938787768719676,0.18569337709049966
OGDC,0.515625,10.72265625,-10.207031250000002,-1.068427641965632,0.14266382685798046
DAL,-5.162454044117647,19.845128676470587,-25.007582720588236,-2.5034042212142738,0.0061502484223721725
