,Attack,Defense,Overall,Standardised,Quantile
AUS,2.3828125,-11.70703125,14.08984375,1.2794356425244906,0.8996281553856903
LA,2.04296875,-8.734375,10.77734375,0.9582584018734606,0.8310337628640028
NE,2.3046875,-5.84375,8.1484375,0.7033618417813107,0.7590848599102421
ATL,2.85546875,-5.06640625,7.921875,0.6813945305103676,0.7521890586065058
SEA,1.390625,-4.06640625,5.45703125,0.4424053337523487,0.6709020399789853
UTAH,1.0,-1.94921875,2.94921875,0.19924992278777168,0.5789663752510695
SD,3.625,0.8125,2.8125,0.18599378667599567,0.5737751830855032
HOU,-0.328125,-2.1171875,1.7890625,0.08676213921070097,0.5345697086855864
RUNY,0.2421875,-0.79296875,1.03515625,0.013664017222907571,0.5054509845684779
TOR,-2.0078125,-1.9140625,-0.09375,-0.09579379238575716,0.46184217382286985
NOLA,-3.16796875,5.0859375,-8.25390625,-0.8869957448857594,0.18754059569491444
OGDC,0.5625,10.6015625,-10.0390625,-1.0600830078309489,0.14455341873379696
DAL,-5.08984375,19.87890625,-24.96875,-2.5076530712368887,0.006076796418784548
