,Attack,Defense,Overall,Standardised,Quantile
AUS,2.0632148692810452,-11.797436683006538,13.860651552287582,1.2753811519494669,0.8989128166958127
LA,1.778926674836601,-8.81045751633987,10.589384191176471,0.9578013874281327,0.8309185402736343
NE,1.7808535178777392,-5.669742406766627,7.450595924644368,0.653082901125926,0.7431485825102426
ATL,2.3073817762399074,-4.673010380622837,6.980392156862746,0.6074347821050425,0.7282187942289651
SEA,2.9983206245461145,-3.9817538126361662,6.980074437182279,0.6074039373803019,0.728208561942446
UTAH,0.6804023692810455,-2.039624183006536,2.7200265522875817,0.19383180927551083,0.5768462104346298
RUNY,0.45272785039941865,-1.767814996368918,2.220542846768337,0.1453411479902875,0.5577792358886475
SD,3.098279507881584,1.3933102652825837,1.7049692425990004,0.0952884541163452,0.5379571433978991
HOU,-0.11582083813917751,-1.1032295271049593,0.987408688965782,0.02562655048788923,0.51022239560279
TOR,-2.042253880718955,-1.8461754493464047,-0.19607843137254943,-0.08926823477460867,0.4644343691171522
NOLA,-3.2136693218954253,5.2811223447712425,-8.494791666666668,-0.8949203274239901,0.18541483979234752
OGDC,0.47439236111111094,10.828967524509803,-10.354575163398692,-1.0754710252893604,0.14108194889010878
DAL,-5.323554942810458,19.7203329248366,-25.043887867647058,-2.5015325343709436,0.006182854007691037
